,WHO,Year,intersection,climate,health,sum
12,Europe,2011.0,490.0,8980.0,18042.0,27512.0
13,Europe,2012.0,515.0,10183.0,22320.0,33018.0
14,Europe,2013.0,511.0,10513.0,22414.0,33438.0
15,Europe,2014.0,569.0,11282.0,23918.0,35769.0
16,Europe,2015.0,555.0,10699.0,24845.0,36099.0
17,Europe,2016.0,679.0,12092.0,26264.0,39035.0
18,Europe,2017.0,826.0,12649.0,27210.0,40685.0
19,Europe,2018.0,822.0,13627.0,30882.0,45331.0
20,Europe,2019.0,1129.0,17772.0,35148.0,54049.0
21,Europe,2020.0,1500.0,22246.0,39339.0,63085.0
22,Europe,2021.0,4338.0,40937.0,93491.0,138766.0
23,Europe,2022.0,4742.0,58210.0,95019.0,157971.0
24,Europe,2023.0,7987.0,126944.0,119497.0,254428.0
