,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,1.0,2.0,39.0,42.0
1,High,2012.0,6.0,34.0,145.0,185.0
2,High,2013.0,1.0,20.0,178.0,199.0
3,High,2014.0,5.0,40.0,253.0,298.0
4,High,2015.0,4.0,21.0,207.0,232.0
5,High,2016.0,3.0,44.0,149.0,196.0
6,High,2017.0,1.0,18.0,65.0,84.0
7,High,2018.0,1.0,14.0,96.0,111.0
8,High,2019.0,5.0,27.0,80.0,112.0
9,High,2020.0,6.0,39.0,117.0,162.0
10,High,2021.0,2.0,24.0,128.0,154.0
11,High,2022.0,3.0,31.0,118.0,152.0
12,High,2023.0,49.0,1243.0,1167.0,2459.0
13,Very High,2011.0,489.0,8981.0,18016.0,27486.0
14,Very High,2012.0,509.0,10151.0,22194.0,32854.0
15,Very High,2013.0,515.0,10505.0,22241.0,33261.0
16,Very High,2014.0,564.0,11242.0,23665.0,35471.0
17,Very High,2015.0,552.0,10694.0,24653.0,35899.0
18,Very High,2016.0,676.0,12050.0,26115.0,38841.0
19,Very High,2017.0,825.0,12643.0,27154.0,40622.0
20,Very High,2018.0,822.0,13616.0,30792.0,45230.0
21,Very High,2019.0,1124.0,17760.0,35082.0,53966.0
22,Very High,2020.0,1494.0,22224.0,39233.0,62951.0
23,Very High,2021.0,4341.0,40990.0,93498.0,138829.0
24,Very High,2022.0,4743.0,58299.0,95037.0,158079.0
25,Very High,2023.0,7946.0,125810.0,118457.0,252213.0
