,Year,HDI Level (2021),Climate,Health,Intersection
0,2011.0,High,0.15,0.77,0.08
2,2012.0,High,0.44,0.78,0.22
4,2013.0,High,0.45,0.9,0.05
6,2014.0,High,0.39,0.91,0.17
8,2015.0,High,0.33,0.83,0.12
10,2016.0,High,0.39,0.7,0.09
12,2017.0,High,0.33,0.83,0.08
14,2018.0,High,0.45,0.91,0.09
16,2019.0,High,0.45,0.91,0.18
18,2020.0,High,0.58,0.92,0.33
20,2021.0,High,0.55,1.0,0.18
22,2022.0,High,0.58,1.0,0.17
24,2023.0,High,0.87,0.93,0.6
1,2011.0,Very High,0.62,0.81,0.16
3,2012.0,Very High,0.55,0.78,0.12
5,2013.0,Very High,0.55,0.77,0.11
7,2014.0,Very High,0.54,0.79,0.12
9,2015.0,Very High,0.56,0.8,0.13
11,2016.0,Very High,0.57,0.81,0.14
13,2017.0,Very High,0.57,0.81,0.15
15,2018.0,Very High,0.59,0.83,0.17
17,2019.0,Very High,0.62,0.85,0.18
19,2020.0,Very High,0.7,0.87,0.26
21,2021.0,Very High,0.72,0.89,0.34
23,2022.0,Very High,0.76,0.88,0.37
25,2023.0,Very High,0.91,0.93,0.58
