,Sector,intersection,health,climate
0,aerospace & defense,4.47,61.4,59.67
1,alternative energy,2.79,32.58,55.58
2,automobiles & parts,4.4,66.14,87.1
3,banks,3.46,60.99,99.33
4,beverages,3.32,58.23,49.19
5,chemicals,3.69,55.85,44.53
6,construction & materials,3.8,48.65,46.07
7,diversified,2.73,36.91,44.01
8,electricity,5.98,59.81,138.42
9,electronic & electrical equ...,2.48,41.02,58.08
10,finance and credit services,3.74,44.8,74.77
11,food producers,3.8,56.83,36.53
12,"gas, water & multiutilities",5.98,76.0,90.2
13,general industrials,2.14,33.51,32.77
14,household goods & home cons...,2.42,37.97,50.29
15,industrial engineering,2.09,35.65,37.86
16,industrial materials,1.69,36.03,38.31
17,industrial metals and mining,4.53,60.48,64.75
18,industrial support services,1.6,25.48,24.2
19,industrial transportation,2.56,42.42,47.4
20,investment banking and brokerage services,2.32,21.45,54.91
21,leisure goods,1.92,39.0,28.15
22,life insurance,5.0,97.07,103.47
23,media,1.62,36.9,34.0
24,medical equipment and services; health care providers,7.56,127.84,29.22
25,nonlife insurance,4.26,83.41,61.59
26,not applicable,0.87,13.07,11.67
27,"oil, gas, & coal",6.58,74.53,121.82
28,open end and miscellaneous investment vehicles,1.0,2.0,5.5
29,personal goods,5.22,53.73,46.64
30,pharmaceuticals & biotechno...,9.78,158.55,44.08
31,real estate investment & se...,2.5,47.75,55.95
32,real estate investment trusts,6.0,56.29,104.71
33,retailers,2.55,48.51,48.29
34,software & computer services,1.78,29.74,37.56
35,technology hardware & equip...,2.17,32.96,34.87
36,telecommunications equipment; telecommunications service providers,3.68,57.58,70.9
37,travel & leisure,1.98,44.28,42.1
