,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,14.0,497.0,1040.0,1551.0
1,1,Asia,2012.0,20.0,547.0,1386.0,1953.0
2,2,Asia,2013.0,27.0,629.0,1091.0,1747.0
3,3,Asia,2014.0,33.0,721.0,1253.0,2007.0
4,4,Asia,2015.0,40.0,592.0,1380.0,2012.0
5,5,Asia,2016.0,54.0,818.0,1728.0,2600.0
6,6,Asia,2017.0,43.0,654.0,1292.0,1989.0
7,7,Asia,2018.0,68.0,904.0,1374.0,2346.0
8,8,Asia,2019.0,80.0,1085.0,1621.0,2786.0
9,9,Asia,2020.0,126.0,1221.0,2191.0,3538.0
10,10,Asia,2021.0,398.0,2599.0,5040.0,8037.0
11,11,Asia,2022.0,335.0,2936.0,4561.0,7832.0
12,12,Asia,2023.0,829.0,14044.0,8482.0,23355.0
13,13,Europe,2011.0,476.0,8486.0,17015.0,25977.0
14,14,Europe,2012.0,495.0,9638.0,20953.0,31086.0
15,15,Europe,2013.0,489.0,9896.0,21328.0,31713.0
16,16,Europe,2014.0,536.0,10561.0,22665.0,33762.0
17,17,Europe,2015.0,516.0,10123.0,23480.0,34119.0
18,18,Europe,2016.0,625.0,11276.0,24536.0,36437.0
19,19,Europe,2017.0,783.0,12007.0,25927.0,38717.0
20,20,Europe,2018.0,755.0,12726.0,29514.0,42995.0
21,21,Europe,2019.0,1049.0,16702.0,33541.0,51292.0
22,22,Europe,2020.0,1374.0,21042.0,37159.0,59575.0
23,23,Europe,2021.0,3945.0,38415.0,88586.0,130946.0
24,24,Europe,2022.0,4411.0,55394.0,90594.0,150399.0
25,25,Europe,2023.0,7166.0,113009.0,111142.0,231317.0
