,Year,LC_grouping,Climate,Health,Intersection
0,2011.0,Asia,1.0,1.0,0.0
2,2012.0,Asia,0.0,1.0,0.0
5,2014.0,Asia,0.0,1.0,0.0
13,2021.0,Asia,0.0,1.0,0.0
15,2022.0,Asia,1.0,1.0,0.0
17,2023.0,Asia,1.0,1.0,0.0
1,2011.0,Europe,0.31,0.92,0.0
3,2012.0,Europe,0.34,0.93,0.03
4,2013.0,Europe,0.26,0.95,0.0
6,2014.0,Europe,0.39,0.92,0.06
7,2015.0,Europe,0.54,0.97,0.1
8,2016.0,Europe,0.38,0.91,0.04
9,2017.0,Europe,0.52,0.96,0.1
10,2018.0,Europe,0.61,0.98,0.22
11,2019.0,Europe,0.62,0.95,0.26
12,2020.0,Europe,0.64,0.87,0.34
14,2021.0,Europe,0.83,0.97,0.38
16,2022.0,Europe,0.78,0.93,0.42
18,2023.0,Europe,0.93,0.98,0.73
