,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2013.0,0.0,2.0,64.0,66.0,medical equipment and services; health care providers or health care
1,High,2014.0,0.0,0.0,43.0,43.0,medical equipment and services; health care providers or health care
2,High,2015.0,0.0,1.0,43.0,44.0,medical equipment and services; health care providers or health care
3,High,2016.0,0.0,0.0,11.0,11.0,medical equipment and services; health care providers or health care
4,Very High,2011.0,0.0,15.0,194.0,209.0,medical equipment and services; health care providers or health care
5,Very High,2012.0,2.0,37.0,374.0,413.0,medical equipment and services; health care providers or health care
6,Very High,2013.0,0.0,53.0,664.0,717.0,medical equipment and services; health care providers or health care
7,Very High,2014.0,8.0,82.0,1031.0,1121.0,medical equipment and services; health care providers or health care
8,Very High,2015.0,8.0,110.0,1177.0,1295.0,medical equipment and services; health care providers or health care
9,Very High,2016.0,3.0,110.0,995.0,1108.0,medical equipment and services; health care providers or health care
10,Very High,2017.0,10.0,162.0,1568.0,1740.0,medical equipment and services; health care providers or health care
11,Very High,2018.0,24.0,173.0,1885.0,2082.0,medical equipment and services; health care providers or health care
12,Very High,2019.0,24.0,209.0,1317.0,1550.0,medical equipment and services; health care providers or health care
13,Very High,2020.0,50.0,257.0,1986.0,2293.0,medical equipment and services; health care providers or health care
14,Very High,2021.0,123.0,606.0,4605.0,5334.0,medical equipment and services; health care providers or health care
15,Very High,2022.0,138.0,776.0,4543.0,5457.0,medical equipment and services; health care providers or health care
16,Very High,2023.0,340.0,1315.0,5753.0,7408.0,medical equipment and services; health care providers or health care
