,Year,HDI Level (2021),Climate,Health,Intersection
2,2013.0,High,1.0,1.0,0.0
4,2014.0,High,0.0,1.0,0.0
6,2015.0,High,1.0,1.0,0.0
8,2016.0,High,0.0,1.0,0.0
0,2011.0,Very High,0.36,0.93,0.0
1,2012.0,Very High,0.33,0.93,0.03
3,2013.0,Very High,0.24,0.95,0.0
5,2014.0,Very High,0.39,0.92,0.06
7,2015.0,Very High,0.53,0.97,0.11
9,2016.0,Very High,0.39,0.91,0.05
10,2017.0,Very High,0.52,0.96,0.1
11,2018.0,Very High,0.61,0.98,0.22
12,2019.0,Very High,0.62,0.95,0.26
13,2020.0,Very High,0.64,0.87,0.34
14,2021.0,Very High,0.81,0.97,0.38
15,2022.0,Very High,0.79,0.93,0.41
16,2023.0,Very High,0.93,0.98,0.71
