,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,10.0,218.0,1099.0,1327.0
1,Americas,2012.0,9.0,250.0,1179.0,1438.0
2,Americas,2013.0,23.0,287.0,1403.0,1713.0
3,Americas,2014.0,14.0,275.0,1253.0,1542.0
4,Americas,2015.0,22.0,358.0,1917.0,2297.0
5,Americas,2016.0,13.0,374.0,1287.0,1674.0
6,Americas,2017.0,20.0,481.0,1785.0,2286.0
7,Americas,2018.0,30.0,287.0,1656.0,1973.0
8,Americas,2019.0,21.0,342.0,1874.0,2237.0
9,Americas,2020.0,37.0,268.0,1104.0,1409.0
10,Americas,2021.0,68.0,505.0,3360.0,3933.0
11,Americas,2022.0,63.0,641.0,2761.0,3465.0
12,Americas,2023.0,163.0,2189.0,3443.0,5795.0
