,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011.0,0.0,1.0,42.0,43.0,medical equipment and services; health care providers or health care
1,Very High,2012.0,0.0,1.0,35.0,36.0,medical equipment and services; health care providers or health care
2,Very High,2013.0,0.0,0.0,16.0,16.0,medical equipment and services; health care providers or health care
3,Very High,2014.0,0.0,1.0,35.0,36.0,medical equipment and services; health care providers or health care
4,Very High,2015.0,0.0,1.0,41.0,42.0,medical equipment and services; health care providers or health care
5,Very High,2016.0,0.0,1.0,50.0,51.0,medical equipment and services; health care providers or health care
6,Very High,2017.0,2.0,3.0,264.0,269.0,medical equipment and services; health care providers or health care
7,Very High,2018.0,3.0,3.0,264.0,270.0,medical equipment and services; health care providers or health care
8,Very High,2019.0,3.0,10.0,456.0,469.0,medical equipment and services; health care providers or health care
9,Very High,2020.0,7.0,6.0,173.0,186.0,medical equipment and services; health care providers or health care
10,Very High,2021.0,6.0,7.0,464.0,477.0,medical equipment and services; health care providers or health care
11,Very High,2022.0,8.0,7.0,422.0,437.0,medical equipment and services; health care providers or health care
12,Very High,2023.0,14.0,17.0,612.0,643.0,medical equipment and services; health care providers or health care
