,Sector,intersection,climate,health
0,alternative energy,3.0,70.0,24.0
1,automobiles & parts,1.0,25.0,19.0
2,banks,19.0,650.0,296.0
3,beverages,10.0,123.0,149.0
4,chemicals,0.0,0.0,9.0
5,construction & materials,12.0,241.0,523.0
6,diversified,34.0,683.0,594.0
7,electricity,40.0,336.0,302.0
8,electronic & electrical equ...,3.0,181.0,118.0
9,finance and credit services,28.0,360.0,283.0
10,financial services,8.0,359.0,146.0
11,food producers,34.0,321.0,454.0
12,"gas, water & multiutilities",150.0,1502.0,1463.0
13,general industrials,48.0,635.0,913.0
14,industrial materials,0.0,52.0,83.0
15,industrial metals & mining,16.0,194.0,300.0
16,industrial metals and mining,183.0,2717.0,2718.0
17,industrial support services,101.0,1523.0,1401.0
18,industrial transportation,41.0,906.0,701.0
19,investment banking and brokerage services,1.0,46.0,17.0
20,media,1.0,44.0,45.0
21,medical equipment and services; health care providers,88.0,201.0,804.0
22,nonlife insurance,33.0,435.0,118.0
23,not applicable,8.0,135.0,75.0
24,"oil, gas, & coal",61.0,482.0,725.0
25,open end and miscellaneous investment vehicles,1.0,45.0,8.0
26,personal goods,4.0,98.0,300.0
27,real estate investment & se...,20.0,771.0,691.0
28,real estate investment trusts,79.0,1084.0,1005.0
29,retailers,77.0,1167.0,1347.0
30,software & computer services,5.0,63.0,76.0
31,technology hardware & equip...,40.0,582.0,699.0
32,telecommunications equipment; telecommunications service providers,67.0,835.0,627.0
33,travel & leisure,33.0,600.0,415.0
