,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,0.5,2023
1,automobiles & parts,0.5,0.5,0.5,2023
2,banks,0.95,0.9,0.29,2023
3,beverages,0.82,1.0,0.36,2023
4,chemicals,0.0,0.9,0.0,2023
5,construction & materials,0.73,0.77,0.23,2023
6,diversified,0.79,0.73,0.39,2023
7,electricity,1.0,1.0,1.0,2023
8,electronic & electrical equ...,0.4,0.5,0.1,2023
9,finance and credit services,1.0,1.0,0.5,2023
10,financial services,0.6,0.48,0.1,2023
11,food producers,1.0,0.88,0.75,2023
12,"gas, water & multiutilities",1.0,1.0,0.93,2023
13,general industrials,0.71,0.93,0.21,2023
14,industrial materials,0.55,1.0,0.0,2023
15,industrial metals & mining,1.0,1.0,1.0,2023
16,industrial metals and mining,0.89,0.84,0.76,2023
17,industrial support services,0.62,0.86,0.26,2023
18,industrial transportation,0.95,0.9,0.5,2023
19,investment banking and brokerage services,1.0,1.0,0.5,2023
20,media,0.67,1.0,0.07,2023
21,medical equipment and services; health care providers,0.8,1.0,0.8,2023
22,nonlife insurance,1.0,0.5,0.5,2023
23,not applicable,0.6,1.0,0.4,2023
24,"oil, gas, & coal",0.95,1.0,0.47,2023
25,open end and miscellaneous investment vehicles,1.0,1.0,1.0,2023
26,personal goods,0.41,0.88,0.12,2023
27,real estate investment & se...,0.95,0.76,0.48,2023
28,real estate investment trusts,0.94,1.0,0.75,2023
29,retailers,0.96,0.93,0.67,2023
30,software & computer services,0.64,0.86,0.07,2023
31,technology hardware & equip...,1.0,1.0,1.0,2023
32,telecommunications equipment; telecommunications service providers,1.0,1.0,0.85,2023
33,travel & leisure,1.0,0.95,0.47,2023
