,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,automobiles & parts,1,1,1,1,1.0,1.0,1.0
1,banks,1,1,1,0,1.0,1.0,0.0
2,construction & materials,1,1,1,0,1.0,1.0,0.0
3,diversified,6,6,5,5,1.0,0.83,0.83
4,electronic & electrical equ...,1,1,1,1,1.0,1.0,1.0
5,finance and credit services,5,5,5,3,1.0,1.0,0.6
6,food producers,2,2,2,2,1.0,1.0,1.0
7,"gas, water & multiutilities",1,1,1,1,1.0,1.0,1.0
8,general industrials,3,3,3,1,1.0,1.0,0.33
9,industrial metals and mining,8,8,8,8,1.0,1.0,1.0
10,industrial support services,7,7,7,6,1.0,1.0,0.86
11,industrial transportation,2,2,2,2,1.0,1.0,1.0
12,investment banking and brokerage services,2,2,2,1,1.0,1.0,0.5
13,medical equipment and services; health care providers,2,2,2,2,1.0,1.0,1.0
14,nonlife insurance,1,1,1,1,1.0,1.0,1.0
15,not applicable,2,0,2,0,0.0,1.0,0.0
16,open end and miscellaneous investment vehicles,1,1,1,1,1.0,1.0,1.0
17,real estate investment & se...,2,2,1,1,1.0,0.5,0.5
18,real estate investment trusts,3,3,3,3,1.0,1.0,1.0
19,retailers,5,5,5,4,1.0,1.0,0.8
20,software & computer services,1,1,1,1,1.0,1.0,1.0
21,technology hardware & equip...,3,3,3,3,1.0,1.0,1.0
22,telecommunications equipment; telecommunications service providers,2,2,2,2,1.0,1.0,1.0
23,travel & leisure,1,1,1,1,1.0,1.0,1.0
