,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,1.0,220.0,122.0,343.0
1,Europe,2012.0,0.0,102.0,116.0,218.0
2,Europe,2013.0,7.0,301.0,366.0,674.0
3,Europe,2014.0,3.0,205.0,292.0,500.0
4,Europe,2015.0,7.0,279.0,483.0,769.0
5,Europe,2016.0,3.0,167.0,286.0,456.0
6,Europe,2017.0,15.0,211.0,565.0,791.0
7,Europe,2018.0,14.0,422.0,774.0,1210.0
8,Europe,2019.0,22.0,467.0,780.0,1269.0
9,Europe,2020.0,51.0,683.0,980.0,1714.0
10,Europe,2021.0,124.0,1229.0,2381.0,3734.0
11,Europe,2022.0,150.0,1850.0,2879.0,4879.0
12,Europe,2023.0,246.0,4029.0,3623.0,7898.0
