,Sector,intersection,health,climate
0,banks,1.5,58.67,69.67
1,beverages,3.0,38.0,27.0
2,chemicals,6.0,95.0,108.0
3,diversified,4.25,49.75,44.75
4,electricity,5.33,49.0,102.67
5,electronic & electrical equ...,1.83,72.33,62.83
6,finance and credit services,8.33,96.33,116.67
7,food producers,17.0,159.0,115.0
8,general industrials,6.0,32.2,48.2
9,industrial engineering,0.0,50.0,15.0
10,industrial materials,4.0,62.0,69.0
11,industrial metals and mining,8.0,110.0,84.0
12,industrial support services,3.0,49.0,14.0
13,industrial transportation,6.0,74.0,93.0
14,leisure goods,2.0,92.0,15.0
15,life insurance,8.0,80.0,114.0
16,media,1.0,31.0,15.0
17,nonlife insurance,1.0,68.0,67.0
18,not applicable,0.0,9.0,6.0
19,personal goods,0.0,20.0,24.0
20,real estate investment & se...,1.5,41.75,66.5
21,software & computer services,1.83,34.83,49.5
22,technology hardware & equip...,11.0,100.0,196.0
23,telecommunications equipment; telecommunications service providers,10.0,59.0,83.0
