,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,banks,6,5,5,5,0.83,0.83,0.83
1,beverages,1,1,1,1,1.0,1.0,1.0
2,chemicals,1,1,1,1,1.0,1.0,1.0
3,diversified,12,11,11,7,0.92,0.92,0.58
4,electricity,3,3,3,3,1.0,1.0,1.0
5,electronic & electrical equ...,6,6,6,3,1.0,1.0,0.5
6,finance and credit services,3,3,3,3,1.0,1.0,1.0
7,food producers,1,1,1,1,1.0,1.0,1.0
8,general industrials,5,5,5,3,1.0,1.0,0.6
9,industrial engineering,1,1,1,0,1.0,1.0,0.0
10,industrial materials,1,1,1,1,1.0,1.0,1.0
11,industrial metals and mining,1,1,1,1,1.0,1.0,1.0
12,industrial support services,1,1,1,1,1.0,1.0,1.0
13,industrial transportation,2,2,2,2,1.0,1.0,1.0
14,leisure goods,1,1,1,1,1.0,1.0,1.0
15,life insurance,1,1,1,1,1.0,1.0,1.0
16,media,1,1,1,1,1.0,1.0,1.0
17,nonlife insurance,2,2,2,2,1.0,1.0,1.0
18,not applicable,2,1,1,0,0.5,0.5,0.0
19,personal goods,2,2,2,0,1.0,1.0,0.0
20,real estate investment & se...,4,4,4,3,1.0,1.0,0.75
21,software & computer services,6,4,5,2,0.67,0.83,0.33
22,technology hardware & equip...,1,1,1,1,1.0,1.0,1.0
23,telecommunications equipment; telecommunications service providers,1,1,1,1,1.0,1.0,1.0
