,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2012.0,3.0,53.0,127.0,183.0
1,Eastern Mediterranean,2013.0,0.0,8.0,18.0,26.0
2,Eastern Mediterranean,2014.0,6.0,66.0,160.0,232.0
3,Eastern Mediterranean,2015.0,0.0,32.0,32.0,64.0
4,Eastern Mediterranean,2016.0,0.0,4.0,51.0,55.0
5,Eastern Mediterranean,2017.0,0.0,3.0,52.0,55.0
6,Eastern Mediterranean,2018.0,1.0,22.0,60.0,83.0
7,Eastern Mediterranean,2019.0,3.0,45.0,90.0,138.0
8,Eastern Mediterranean,2020.0,3.0,5.0,83.0,91.0
9,Eastern Mediterranean,2021.0,0.0,0.0,19.0,19.0
10,Eastern Mediterranean,2022.0,0.0,0.0,45.0,45.0
11,Eastern Mediterranean,2023.0,11.0,150.0,377.0,538.0
