,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2012.0,3.0,53.0,127.0,183.0
1,Very High,2013.0,0.0,8.0,18.0,26.0
2,Very High,2014.0,6.0,66.0,160.0,232.0
3,Very High,2015.0,0.0,32.0,32.0,64.0
4,Very High,2016.0,0.0,4.0,51.0,55.0
5,Very High,2017.0,0.0,3.0,52.0,55.0
6,Very High,2018.0,1.0,22.0,60.0,83.0
7,Very High,2019.0,3.0,45.0,90.0,138.0
8,Very High,2020.0,3.0,5.0,83.0,91.0
9,Very High,2021.0,0.0,0.0,19.0,19.0
10,Very High,2022.0,0.0,0.0,45.0,45.0
11,Very High,2023.0,11.0,150.0,377.0,538.0
