,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011.0,0.0,5.0,7.0,12.0
1,Medium,2012.0,1.0,16.0,80.0,97.0
2,Medium,2013.0,1.0,26.0,73.0,100.0
3,Medium,2014.0,2.0,33.0,157.0,192.0
4,Medium,2015.0,6.0,27.0,147.0,180.0
5,Medium,2016.0,10.0,42.0,160.0,212.0
6,Medium,2017.0,8.0,39.0,187.0,234.0
7,Medium,2018.0,11.0,83.0,298.0,392.0
8,Medium,2019.0,8.0,88.0,267.0,363.0
9,Medium,2020.0,20.0,91.0,245.0,356.0
10,Medium,2021.0,15.0,84.0,256.0,355.0
11,Medium,2022.0,8.0,27.0,120.0,155.0
12,Medium,2023.0,18.0,111.0,225.0,354.0
