,Sector,intersection,climate,health
0,automobiles & parts,0.0,0.0,1.0
1,banks,0.0,0.0,0.0
2,beverages,5.0,62.0,190.0
3,construction & materials,0.0,1.0,26.0
4,diversified,0.0,4.0,2.0
5,financial services,0.0,0.0,12.0
6,food producers,0.0,5.0,221.0
7,general industrials,3.0,88.0,1615.0
8,industrial engineering,0.0,0.0,1.0
9,industrial support services,0.0,0.0,4.0
10,industrial transportation,1.0,3.0,30.0
11,media,0.0,1.0,7.0
12,not applicable,0.0,0.0,0.0
13,real estate investment & se...,0.0,3.0,0.0
14,retailers,1.0,1.0,2.0
15,software & computer services,10.0,169.0,156.0
16,telecommunications equipment; telecommunications service providers,1.0,3.0,16.0
17,travel & leisure,0.0,0.0,2.0
