,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,3.0,119.0,122.0
1,1,Europe,2012.0,3.0,17.0,184.0,204.0
2,2,Europe,2013.0,1.0,8.0,139.0,148.0
3,3,Europe,2014.0,0.0,13.0,391.0,404.0
4,4,Europe,2015.0,1.0,15.0,178.0,194.0
5,5,Europe,2016.0,1.0,11.0,145.0,157.0
6,6,Europe,2017.0,0.0,16.0,162.0,178.0
7,7,Europe,2018.0,0.0,8.0,103.0,111.0
8,8,Europe,2019.0,0.0,10.0,146.0,156.0
9,9,Europe,2020.0,0.0,29.0,155.0,184.0
10,10,Europe,2021.0,0.0,19.0,174.0,193.0
11,11,Europe,2022.0,5.0,23.0,262.0,290.0
12,12,Europe,2023.0,10.0,168.0,127.0,305.0
