,Sector,intersection,climate,health
0,banks,0.0,1.0,0.0
1,beverages,33.0,373.0,347.0
2,chemicals,18.0,305.0,336.0
3,construction & materials,15.0,167.0,279.0
4,diversified,9.0,224.0,273.0
5,electricity,2.0,4.0,10.0
6,financial services,2.0,217.0,100.0
7,food producers,18.0,84.0,154.0
8,"gas, water & multiutilities",0.0,4.0,19.0
9,general industrials,8.0,98.0,293.0
10,household goods & home cons...,2.0,19.0,8.0
11,industrial engineering,2.0,35.0,244.0
12,industrial materials,4.0,43.0,96.0
13,industrial metals and mining,5.0,21.0,13.0
14,industrial support services,36.0,467.0,576.0
15,industrial transportation,3.0,29.0,47.0
16,leisure goods,3.0,133.0,157.0
17,life insurance,20.0,200.0,296.0
18,media,0.0,4.0,44.0
19,nonlife insurance,3.0,84.0,172.0
20,not applicable,0.0,1.0,2.0
21,personal goods,3.0,42.0,156.0
22,pharmaceuticals & biotechno...,12.0,36.0,374.0
23,real estate investment & se...,85.0,356.0,1862.0
24,real estate investment trusts,35.0,222.0,167.0
25,software & computer services,1.0,13.0,80.0
26,telecommunications equipment; telecommunications service providers,1.0,64.0,71.0
27,travel & leisure,0.0,4.0,7.0
