,Sector,intersection,health,climate
0,beverages,1.0,9.0,12.0
1,chemicals,4.5,45.0,46.5
2,construction & materials,1.0,68.0,44.0
3,diversified,0.0,10.67,8.0
4,food producers,13.0,96.0,53.0
5,general industrials,4.0,49.0,15.0
6,household goods & home cons...,2.0,8.0,19.0
7,industrial metals and mining,5.0,13.0,21.0
8,industrial support services,2.0,24.0,35.0
9,industrial transportation,1.5,13.5,14.5
10,leisure goods,0.0,10.0,50.0
11,life insurance,7.0,148.0,96.0
12,nonlife insurance,1.0,80.0,42.0
13,not applicable,0.0,2.0,1.0
14,real estate investment & se...,14.0,312.5,90.0
15,real estate investment trusts,12.0,64.0,70.0
16,software & computer services,1.0,3.0,1.0
