,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,90.0,54.0,144.0
1,1,Europe,2012.0,3.0,162.0,115.0,280.0
2,2,Europe,2013.0,1.0,135.0,126.0,262.0
3,3,Europe,2014.0,3.0,110.0,162.0,275.0
4,4,Europe,2015.0,8.0,116.0,191.0,315.0
5,5,Europe,2016.0,8.0,128.0,185.0,321.0
6,6,Europe,2017.0,9.0,117.0,151.0,277.0
7,7,Europe,2018.0,14.0,163.0,298.0,475.0
8,8,Europe,2019.0,24.0,165.0,318.0,507.0
9,9,Europe,2020.0,23.0,152.0,319.0,494.0
10,10,Europe,2021.0,47.0,352.0,1052.0,1451.0
11,11,Europe,2022.0,91.0,775.0,1864.0,2730.0
12,12,Europe,2023.0,89.0,785.0,1348.0,2222.0
