,Sector,intersection,climate,health
0,banks,0.0,16.0,24.0
1,construction & materials,2.0,18.0,229.0
2,diversified,0.0,7.0,18.0
3,electricity,7.0,149.0,687.0
4,finance and credit services,0.0,14.0,27.0
5,financial services,8.0,90.0,174.0
6,food producers,0.0,8.0,8.0
7,"gas, water & multiutilities",0.0,0.0,0.0
8,general industrials,0.0,3.0,1.0
9,industrial metals & mining,18.0,62.0,373.0
10,industrial metals and mining,1.0,24.0,98.0
11,media,0.0,0.0,0.0
12,not applicable,0.0,4.0,33.0
13,"oil, gas, & coal",13.0,350.0,1418.0
14,personal goods,0.0,0.0,0.0
15,pharmaceuticals & biotechno...,1.0,16.0,73.0
16,real estate investment & se...,0.0,0.0,2.0
17,retailers,4.0,22.0,150.0
18,technology hardware & equip...,1.0,6.0,1.0
19,telecommunications equipment; telecommunications service providers,1.0,13.0,17.0
