Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,112,63,95,15,0.56,0.85,0.13
2012.0,141,73,120,17,0.52,0.85,0.12
2013.0,124,60,107,15,0.48,0.86,0.12
2014.0,114,51,91,11,0.45,0.8,0.1
2015.0,117,55,95,10,0.47,0.81,0.09
2016.0,120,54,97,17,0.45,0.81,0.14
2017.0,138,76,119,14,0.55,0.86,0.1
2018.0,133,74,111,19,0.56,0.83,0.14
2019.0,118,57,99,20,0.48,0.84,0.17
2020.0,126,68,111,28,0.54,0.88,0.22
2021.0,290,163,239,71,0.56,0.82,0.24
2022.0,361,204,294,79,0.57,0.81,0.22
2023.0,287,253,267,151,0.88,0.93,0.53
