,Sector,intersection,climate,health
0,aerospace & defense,14.0,217.0,591.0
1,alternative energy,14.0,235.0,534.0
2,automobiles & parts,1.0,38.0,129.0
3,banks,116.0,989.0,1409.0
4,beverages,1.0,47.0,89.0
5,chemicals,34.0,481.0,1130.0
6,construction & materials,18.0,189.0,998.0
7,diversified,212.0,3504.0,4919.0
8,electricity,155.0,4370.0,7195.0
9,electronic & electrical equ...,31.0,746.0,772.0
10,finance and credit services,5.0,280.0,268.0
11,financial services,36.0,682.0,1391.0
12,food producers,99.0,1276.0,3323.0
13,"gas, water & multiutilities",34.0,546.0,1873.0
14,general industrials,78.0,835.0,1880.0
15,household goods & home cons...,9.0,125.0,245.0
16,industrial engineering,5.0,76.0,244.0
17,industrial materials,42.0,765.0,1162.0
18,industrial metals & mining,37.0,485.0,1333.0
19,industrial metals and mining,10.0,364.0,264.0
20,industrial support services,66.0,1209.0,4048.0
21,industrial transportation,23.0,355.0,884.0
22,investment banking and brokerage services,5.0,69.0,125.0
23,life insurance,63.0,186.0,817.0
24,media,3.0,72.0,190.0
25,medical equipment and services; health care providers,202.0,490.0,10334.0
26,nonlife insurance,5.0,17.0,139.0
27,not applicable,10.0,84.0,302.0
28,"oil, gas, & coal",55.0,993.0,1541.0
29,personal goods,27.0,416.0,667.0
30,pharmaceuticals & biotechno...,109.0,773.0,2224.0
31,real estate investment & se...,13.0,230.0,687.0
32,retailers,61.0,806.0,1804.0
33,software & computer services,58.0,607.0,1340.0
34,technology hardware & equip...,2.0,86.0,187.0
35,telecommunications equipment; telecommunications service providers,47.0,686.0,912.0
36,travel & leisure,9.0,94.0,361.0
