,WHO,Year,intersection,climate,health,sum,Sector
0,Americas,2011.0,0.0,0.0,119.0,119.0,medical equipment and services; health care providers or health care
1,Americas,2012.0,4.0,30.0,752.0,786.0,medical equipment and services; health care providers or health care
2,Americas,2013.0,5.0,8.0,663.0,676.0,medical equipment and services; health care providers or health care
3,Americas,2014.0,0.0,3.0,46.0,49.0,medical equipment and services; health care providers or health care
4,Americas,2015.0,1.0,9.0,458.0,468.0,medical equipment and services; health care providers or health care
5,Americas,2016.0,3.0,7.0,559.0,569.0,medical equipment and services; health care providers or health care
6,Americas,2017.0,3.0,13.0,506.0,522.0,medical equipment and services; health care providers or health care
7,Americas,2018.0,11.0,21.0,669.0,701.0,medical equipment and services; health care providers or health care
8,Americas,2019.0,2.0,15.0,871.0,888.0,medical equipment and services; health care providers or health care
9,Americas,2020.0,0.0,7.0,629.0,636.0,medical equipment and services; health care providers or health care
10,Americas,2021.0,17.0,59.0,1173.0,1249.0,medical equipment and services; health care providers or health care
11,Americas,2022.0,78.0,138.0,1745.0,1961.0,medical equipment and services; health care providers or health care
12,Americas,2023.0,78.0,180.0,2144.0,2402.0,medical equipment and services; health care providers or health care
