,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,0.0,1.0,31.0,32.0
1,Europe,2012.0,4.0,15.0,37.0,56.0
2,Europe,2013.0,0.0,4.0,41.0,45.0
3,Europe,2014.0,4.0,20.0,90.0,114.0
4,Europe,2015.0,3.0,18.0,115.0,136.0
5,Europe,2016.0,2.0,28.0,89.0,119.0
6,Europe,2017.0,1.0,17.0,43.0,61.0
7,Europe,2018.0,1.0,13.0,80.0,94.0
8,Europe,2019.0,1.0,15.0,38.0,54.0
9,Europe,2020.0,3.0,22.0,67.0,92.0
10,Europe,2021.0,2.0,24.0,94.0,120.0
11,Europe,2022.0,3.0,29.0,90.0,122.0
12,Europe,2023.0,20.0,577.0,537.0,1134.0
