,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,0.0,1.0,31.0,32.0
1,Tier 1,2012.0,4.0,15.0,37.0,56.0
2,Tier 1,2013.0,0.0,4.0,41.0,45.0
3,Tier 1,2014.0,4.0,20.0,90.0,114.0
4,Tier 1,2015.0,3.0,18.0,115.0,136.0
5,Tier 1,2016.0,2.0,28.0,89.0,119.0
6,Tier 1,2017.0,1.0,17.0,43.0,61.0
7,Tier 1,2018.0,1.0,13.0,80.0,94.0
8,Tier 1,2019.0,1.0,15.0,38.0,54.0
9,Tier 1,2020.0,3.0,22.0,67.0,92.0
10,Tier 1,2021.0,2.0,24.0,94.0,120.0
11,Tier 1,2022.0,3.0,29.0,90.0,122.0
12,Tier 1,2023.0,20.0,577.0,537.0,1134.0
