,Sector,intersection,climate,health
0,aerospace & defense,85.0,709.0,1582.0
1,alternative energy,2.0,28.0,8.0
2,automobiles & parts,2.0,21.0,176.0
3,chemicals,13.0,125.0,296.0
4,construction & materials,15.0,55.0,64.0
5,diversified,32.0,308.0,249.0
6,electricity,22.0,400.0,267.0
7,electronic & electrical equ...,7.0,232.0,223.0
8,finance and credit services,4.0,117.0,67.0
9,financial services,26.0,698.0,387.0
10,food producers,12.0,75.0,120.0
11,general industrials,27.0,321.0,561.0
12,industrial engineering,73.0,833.0,695.0
13,industrial materials,9.0,114.0,72.0
14,industrial metals & mining,177.0,1631.0,3763.0
15,industrial metals and mining,93.0,1101.0,2078.0
16,industrial support services,76.0,721.0,1207.0
17,industrial transportation,5.0,150.0,83.0
18,investment banking and brokerage services,0.0,3.0,5.0
19,life insurance,28.0,203.0,143.0
20,media,6.0,74.0,48.0
21,not applicable,0.0,10.0,25.0
22,"oil, gas, & coal",134.0,1871.0,1364.0
23,personal goods,1.0,118.0,105.0
24,retailers,11.0,109.0,158.0
25,software & computer services,26.0,502.0,462.0
26,technology hardware & equip...,15.0,213.0,129.0
27,telecommunications equipment; telecommunications service providers,5.0,185.0,78.0
28,travel & leisure,4.0,51.0,111.0
