,Sector,intersection,health,climate
0,aerospace & defense,29.0,278.0,306.0
1,chemicals,0.0,81.0,74.0
2,diversified,5.0,35.75,60.25
3,electronic & electrical equ...,3.0,93.0,102.0
4,finance and credit services,4.0,57.0,117.0
5,food producers,12.0,113.0,73.0
6,general industrials,1.0,11.0,27.0
7,industrial engineering,9.0,49.0,118.0
8,industrial materials,5.0,59.0,52.0
9,industrial metals and mining,7.4,93.2,58.8
10,industrial support services,2.0,19.0,31.0
11,industrial transportation,2.5,41.5,75.0
12,life insurance,28.0,143.0,203.0
13,"oil, gas, & coal",7.0,32.5,71.0
14,personal goods,0.0,20.67,26.33
15,retailers,0.0,8.0,23.0
16,software & computer services,2.33,34.17,52.33
17,technology hardware & equip...,11.0,100.0,196.0
18,telecommunications equipment; telecommunications service providers,2.5,20.5,73.5
19,travel & leisure,4.0,111.0,51.0
