,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,22.0,283.0,965.0,1270.0
1,Americas,2012.0,21.0,221.0,568.0,810.0
2,Americas,2013.0,11.0,213.0,816.0,1040.0
3,Americas,2014.0,9.0,192.0,667.0,868.0
4,Americas,2015.0,8.0,227.0,1005.0,1240.0
5,Americas,2016.0,7.0,195.0,742.0,944.0
6,Americas,2017.0,18.0,240.0,748.0,1006.0
7,Americas,2018.0,22.0,418.0,970.0,1410.0
8,Americas,2019.0,60.0,743.0,1507.0,2310.0
9,Americas,2020.0,94.0,1020.0,1804.0,2918.0
10,Americas,2021.0,218.0,2079.0,6509.0,8806.0
11,Americas,2022.0,263.0,2872.0,4457.0,7592.0
12,Americas,2023.0,306.0,4045.0,4382.0,8733.0
