,Sector,intersection,climate,health
0,banks,15.0,241.0,784.0
1,beverages,25.0,543.0,1355.0
2,chemicals,2.0,47.0,186.0
3,construction & materials,37.0,387.0,749.0
4,diversified,70.0,1200.0,2952.0
5,electricity,317.0,3797.0,3794.0
6,electronic & electrical equ...,1.0,18.0,29.0
7,finance and credit services,3.0,14.0,194.0
8,financial services,9.0,118.0,668.0
9,food producers,51.0,518.0,1716.0
10,"gas, water & multiutilities",36.0,518.0,1327.0
11,general industrials,45.0,388.0,689.0
12,household goods & home cons...,23.0,152.0,195.0
13,industrial materials,28.0,545.0,634.0
14,industrial metals & mining,37.0,478.0,536.0
15,industrial metals and mining,169.0,1129.0,2065.0
16,industrial support services,66.0,821.0,1769.0
17,industrial transportation,15.0,177.0,313.0
18,media,0.0,0.0,0.0
19,not applicable,12.0,45.0,1980.0
20,"oil, gas, & coal",1.0,1.0,11.0
21,personal goods,20.0,174.0,158.0
22,pharmaceuticals & biotechno...,7.0,77.0,556.0
23,real estate investment & se...,15.0,295.0,641.0
24,retailers,29.0,491.0,1109.0
25,software & computer services,10.0,177.0,262.0
26,technology hardware & equip...,0.0,0.0,1.0
27,telecommunications equipment; telecommunications service providers,8.0,273.0,323.0
28,travel & leisure,8.0,124.0,144.0
