,Sector,intersection,health,climate
0,banks,2.0,45.0,35.5
1,beverages,4.0,52.5,48.5
2,construction & materials,6.5,53.5,82.5
3,diversified,5.8,193.6,104.0
4,electricity,11.8,117.6,249.8
5,finance and credit services,1.5,97.0,7.0
6,food producers,5.0,94.4,53.4
7,"gas, water & multiutilities",7.33,118.0,117.0
8,general industrials,15.0,73.0,136.0
9,household goods & home cons...,23.0,195.0,152.0
10,industrial materials,10.5,82.0,116.5
11,industrial metals and mining,13.67,135.33,84.33
12,industrial support services,1.0,49.0,7.0
13,industrial transportation,0.0,15.0,3.0
14,not applicable,1.0,57.0,16.0
15,personal goods,18.0,111.0,140.0
16,pharmaceuticals & biotechno...,0.0,1.0,0.0
17,real estate investment & se...,1.33,33.33,14.0
18,retailers,3.0,71.0,65.0
19,software & computer services,10.0,127.0,168.0
20,telecommunications equipment; telecommunications service providers,0.0,31.0,39.0
21,travel & leisure,6.0,104.0,57.0
