,Sector,Climate,Health,Intersection,Year
0,banks,0.92,1.0,0.62,2023
1,beverages,0.96,0.92,0.46,2023
2,chemicals,0.67,1.0,0.33,2023
3,construction & materials,0.69,0.92,0.5,2023
4,diversified,0.84,0.86,0.33,2023
5,electricity,0.97,0.97,0.85,2023
6,electronic & electrical equ...,1.0,1.0,0.33,2023
7,finance and credit services,1.0,1.0,1.0,2023
8,financial services,0.76,0.88,0.18,2023
9,food producers,0.7,0.93,0.56,2023
10,"gas, water & multiutilities",0.88,0.94,0.59,2023
11,general industrials,0.86,0.9,0.38,2023
12,household goods & home cons...,1.0,1.0,1.0,2023
13,industrial materials,0.92,1.0,0.5,2023
14,industrial metals & mining,0.93,0.79,0.43,2023
15,industrial metals and mining,0.88,0.92,0.71,2023
16,industrial support services,0.82,0.88,0.45,2023
17,industrial transportation,0.71,0.86,0.57,2023
18,media,0.0,0.0,0.0,2023
19,not applicable,0.53,0.87,0.13,2023
20,"oil, gas, & coal",1.0,1.0,1.0,2023
21,personal goods,0.83,1.0,0.5,2023
22,pharmaceuticals & biotechno...,0.7,0.8,0.5,2023
23,real estate investment & se...,0.93,0.87,0.53,2023
24,retailers,0.89,0.96,0.41,2023
25,software & computer services,0.38,0.88,0.12,2023
26,technology hardware & equip...,0.0,1.0,0.0,2023
27,telecommunications equipment; telecommunications service providers,0.92,1.0,0.15,2023
28,travel & leisure,1.0,1.0,0.67,2023
