,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,banks,2,2,2,1,1.0,1.0,0.5
1,beverages,2,2,1,1,1.0,0.5,0.5
2,construction & materials,2,2,2,2,1.0,1.0,1.0
3,diversified,5,5,5,4,1.0,1.0,0.8
4,electricity,5,5,4,4,1.0,0.8,0.8
5,finance and credit services,2,2,2,2,1.0,1.0,1.0
6,food producers,5,5,5,4,1.0,1.0,0.8
7,"gas, water & multiutilities",3,3,3,2,1.0,1.0,0.67
8,general industrials,1,1,1,1,1.0,1.0,1.0
9,household goods & home cons...,1,1,1,1,1.0,1.0,1.0
10,industrial materials,2,2,2,2,1.0,1.0,1.0
11,industrial metals and mining,3,3,3,3,1.0,1.0,1.0
12,industrial support services,1,1,1,1,1.0,1.0,1.0
13,industrial transportation,1,1,1,0,1.0,1.0,0.0
14,not applicable,1,1,1,1,1.0,1.0,1.0
15,personal goods,1,1,1,1,1.0,1.0,1.0
16,pharmaceuticals & biotechno...,1,0,1,0,0.0,1.0,0.0
17,real estate investment & se...,3,3,3,1,1.0,1.0,0.33
18,retailers,1,1,1,1,1.0,1.0,1.0
19,software & computer services,1,1,1,1,1.0,1.0,1.0
20,telecommunications equipment; telecommunications service providers,1,1,1,0,1.0,1.0,0.0
21,travel & leisure,1,1,1,1,1.0,1.0,1.0
