,Sector,intersection,climate,health
0,alternative energy,27.0,530.0,499.0
1,automobiles & parts,60.0,466.0,942.0
2,banks,2.0,28.0,33.0
3,beverages,0.0,0.0,0.0
4,chemicals,27.0,262.0,611.0
5,construction & materials,7.0,79.0,299.0
6,diversified,24.0,609.0,535.0
7,electricity,17.0,610.0,368.0
8,electronic & electrical equ...,39.0,557.0,852.0
9,finance and credit services,3.0,87.0,38.0
10,financial services,33.0,310.0,719.0
11,food producers,28.0,177.0,422.0
12,general industrials,28.0,314.0,700.0
13,household goods & home cons...,4.0,30.0,153.0
14,industrial engineering,1.0,8.0,55.0
15,industrial materials,1.0,48.0,72.0
16,industrial metals & mining,10.0,181.0,775.0
17,industrial metals and mining,5.0,131.0,137.0
18,industrial support services,28.0,384.0,428.0
19,industrial transportation,26.0,533.0,790.0
20,leisure goods,3.0,44.0,53.0
21,life insurance,138.0,250.0,626.0
22,media,0.0,0.0,3.0
23,medical equipment and services; health care providers,2.0,32.0,205.0
24,not applicable,0.0,12.0,5.0
25,"oil, gas, & coal",53.0,898.0,1274.0
26,personal goods,6.0,150.0,271.0
27,pharmaceuticals & biotechno...,0.0,12.0,15.0
28,real estate investment & se...,23.0,821.0,420.0
29,retailers,27.0,391.0,737.0
30,software & computer services,14.0,205.0,376.0
31,technology hardware & equip...,14.0,776.0,569.0
32,telecommunications equipment; telecommunications service providers,95.0,1142.0,2531.0
33,travel & leisure,9.0,123.0,265.0
