,Sector,intersection,health,climate
0,alternative energy,2.67,64.33,75.33
1,automobiles & parts,0.8,34.0,37.0
2,chemicals,1.14,32.71,20.71
3,construction & materials,5.0,48.0,31.0
4,diversified,2.33,64.67,65.67
5,electricity,3.0,86.0,196.0
6,electronic & electrical equ...,1.58,27.83,20.58
7,finance and credit services,1.5,19.0,43.5
8,general industrials,0.64,20.64,6.91
9,household goods & home cons...,0.5,19.75,6.5
10,industrial engineering,0.0,2.0,0.0
11,industrial materials,0.0,13.0,3.0
12,industrial metals and mining,5.0,110.0,126.0
13,industrial support services,0.5,12.0,15.5
14,industrial transportation,1.5,37.0,36.0
15,medical equipment and services; health care providers,0.0,28.0,0.0
16,not applicable,0.0,5.0,0.0
17,personal goods,1.0,54.5,25.0
18,real estate investment & se...,4.25,93.0,171.0
19,retailers,5.67,128.0,80.33
20,software & computer services,5.0,71.5,89.0
21,technology hardware & equip...,2.0,63.33,103.67
22,telecommunications equipment; telecommunications service providers,2.33,59.67,30.0
23,travel & leisure,4.0,34.0,32.0
