,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,24.0,362.0,718.0,1104.0
1,1,Asia,2012.0,21.0,348.0,708.0,1077.0
2,2,Asia,2013.0,13.0,307.0,504.0,824.0
3,3,Asia,2014.0,16.0,397.0,765.0,1178.0
4,4,Asia,2015.0,26.0,323.0,773.0,1122.0
5,5,Asia,2016.0,16.0,254.0,487.0,757.0
6,6,Asia,2017.0,30.0,385.0,639.0,1054.0
7,7,Asia,2018.0,16.0,490.0,592.0,1098.0
8,8,Asia,2019.0,34.0,379.0,663.0,1076.0
9,9,Asia,2020.0,48.0,323.0,718.0,1089.0
10,10,Asia,2021.0,86.0,578.0,1787.0,2451.0
11,11,Asia,2022.0,285.0,2789.0,4135.0,7209.0
12,12,Asia,2023.0,139.0,3265.0,3289.0,6693.0
