Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,52,39,51,10,0.75,0.98,0.19
2012.0,101,74,95,16,0.73,0.94,0.16
2013.0,187,109,167,19,0.58,0.89,0.1
2014.0,128,88,118,20,0.69,0.92,0.16
2015.0,120,69,114,9,0.57,0.95,0.08
2016.0,141,87,124,17,0.62,0.88,0.12
2017.0,149,77,129,27,0.52,0.87,0.18
2018.0,139,77,117,26,0.55,0.84,0.19
2019.0,122,77,104,24,0.63,0.85,0.2
2020.0,103,74,91,25,0.72,0.88,0.24
2021.0,157,110,141,63,0.7,0.9,0.4
2022.0,135,89,120,40,0.66,0.89,0.3
2023.0,90,66,79,38,0.73,0.88,0.42
