,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2012.0,0.0,15.0,159.0,174.0,medical equipment and services; health care providers or health care
1,High,2013.0,0.0,4.0,557.0,561.0,medical equipment and services; health care providers or health care
2,High,2014.0,0.0,9.0,135.0,144.0,medical equipment and services; health care providers or health care
3,High,2015.0,0.0,0.0,61.0,61.0,medical equipment and services; health care providers or health care
4,High,2016.0,0.0,0.0,55.0,55.0,medical equipment and services; health care providers or health care
5,High,2017.0,9.0,9.0,344.0,362.0,medical equipment and services; health care providers or health care
6,High,2018.0,8.0,29.0,291.0,328.0,medical equipment and services; health care providers or health care
7,High,2019.0,5.0,17.0,298.0,320.0,medical equipment and services; health care providers or health care
8,High,2020.0,12.0,23.0,514.0,549.0,medical equipment and services; health care providers or health care
9,High,2021.0,1.0,13.0,376.0,390.0,medical equipment and services; health care providers or health care
10,High,2022.0,6.0,20.0,466.0,492.0,medical equipment and services; health care providers or health care
11,High,2023.0,1.0,2.0,194.0,197.0,medical equipment and services; health care providers or health care
