,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,11.0,15.0,26.0
1,Very High,2012.0,1.0,25.0,45.0,71.0
2,Very High,2013.0,2.0,32.0,67.0,101.0
3,Very High,2014.0,2.0,16.0,62.0,80.0
4,Very High,2015.0,6.0,60.0,146.0,212.0
5,Very High,2016.0,2.0,7.0,45.0,54.0
6,Very High,2017.0,2.0,81.0,182.0,265.0
7,Very High,2018.0,3.0,76.0,191.0,270.0
8,Very High,2019.0,2.0,63.0,157.0,222.0
9,Very High,2020.0,4.0,48.0,169.0,221.0
10,Very High,2021.0,33.0,229.0,1057.0,1319.0
11,Very High,2022.0,15.0,179.0,492.0,686.0
12,Very High,2023.0,12.0,65.0,159.0,236.0
