,Sector,intersection,climate,health
0,aerospace & defense,1.0,3.0,26.0
1,alternative energy,0.0,1.0,27.0
2,automobiles & parts,7.0,46.0,70.0
3,banks,6.0,148.0,423.0
4,beverages,22.0,200.0,785.0
5,electricity,15.0,64.0,208.0
6,finance and credit services,9.0,60.0,110.0
7,financial services,6.0,71.0,207.0
8,food producers,6.0,75.0,425.0
9,general industrials,7.0,186.0,260.0
10,industrial support services,1.0,4.0,59.0
11,investment banking and brokerage services,3.0,21.0,32.0
12,not applicable,0.0,0.0,0.0
13,real estate investment & se...,1.0,11.0,113.0
14,software & computer services,0.0,0.0,0.0
15,travel & leisure,0.0,2.0,42.0
