,Sector,intersection,climate,health
0,automobiles & parts,8.0,103.0,196.0
1,banks,0.0,5.0,25.0
2,beverages,27.0,305.0,513.0
3,chemicals,0.0,47.0,301.0
4,construction & materials,75.0,1070.0,1873.0
5,diversified,11.0,349.0,488.0
6,electronic & electrical equ...,1.0,18.0,40.0
7,finance and credit services,34.0,494.0,413.0
8,financial services,25.0,386.0,380.0
9,food producers,23.0,833.0,1034.0
10,"gas, water & multiutilities",0.0,0.0,0.0
11,industrial materials,0.0,0.0,0.0
12,industrial support services,2.0,6.0,57.0
13,media,0.0,1.0,2.0
14,nonlife insurance,2.0,141.0,179.0
15,"oil, gas, & coal",28.0,209.0,667.0
16,pharmaceuticals & biotechno...,1.0,5.0,81.0
17,retailers,33.0,529.0,804.0
18,software & computer services,24.0,313.0,385.0
19,technology hardware & equip...,8.0,176.0,401.0
20,telecommunications equipment; telecommunications service providers,99.0,525.0,812.0
21,travel & leisure,0.0,3.0,2.0
