,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,1.0,2023
1,banks,1.0,1.0,1.0,2023
2,beverages,0.0,0.0,0.0,2023
3,electricity,1.0,1.0,1.0,2023
4,financial services,0.0,1.0,0.0,2023
5,general industrials,0.0,0.0,0.0,2023
6,industrial support services,0.0,0.17,0.0,2023
7,media,0.0,1.0,0.0,2023
8,pharmaceuticals & biotechno...,0.0,0.0,0.0,2023
9,software & computer services,0.83,0.83,0.0,2023
10,telecommunications equipment; telecommunications service providers,1.0,1.0,0.0,2023
