,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,47.0,545.0,1214.0,1806.0
1,Europe,2012.0,20.0,480.0,1248.0,1748.0
2,Europe,2013.0,17.0,575.0,1522.0,2114.0
3,Europe,2014.0,27.0,477.0,1564.0,2068.0
4,Europe,2015.0,35.0,595.0,1630.0,2260.0
5,Europe,2016.0,44.0,608.0,1776.0,2428.0
6,Europe,2017.0,46.0,742.0,1803.0,2591.0
7,Europe,2018.0,59.0,1006.0,2024.0,3089.0
8,Europe,2019.0,86.0,1452.0,2521.0,4059.0
9,Europe,2020.0,147.0,2019.0,3066.0,5232.0
10,Europe,2021.0,347.0,3124.0,5319.0,8790.0
11,Europe,2022.0,357.0,4333.0,5032.0,9722.0
12,Europe,2023.0,352.0,5869.0,4995.0,11216.0
