,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,0.0,10.0,107.0,117.0
1,High,2012.0,4.0,44.0,257.0,305.0
2,High,2013.0,11.0,148.0,352.0,511.0
3,High,2014.0,1.0,46.0,328.0,375.0
4,High,2015.0,1.0,76.0,96.0,173.0
5,High,2016.0,1.0,86.0,205.0,292.0
6,High,2017.0,10.0,60.0,125.0,195.0
7,High,2018.0,1.0,14.0,70.0,85.0
8,High,2019.0,3.0,29.0,115.0,147.0
9,High,2020.0,2.0,22.0,71.0,95.0
10,High,2021.0,15.0,109.0,409.0,533.0
11,High,2022.0,7.0,77.0,198.0,282.0
12,High,2023.0,4.0,31.0,97.0,132.0
