,Sector,intersection,climate,health
0,alternative energy,2.0,28.0,15.0
1,banks,15.0,261.0,144.0
2,beverages,4.0,21.0,116.0
3,construction & materials,2.0,51.0,334.0
4,electricity,0.0,10.0,16.0
5,finance and credit services,0.0,12.0,21.0
6,financial services,18.0,174.0,486.0
7,food producers,7.0,41.0,307.0
8,general industrials,2.0,36.0,247.0
9,industrial metals and mining,0.0,0.0,19.0
10,industrial support services,0.0,32.0,28.0
11,industrial transportation,3.0,3.0,133.0
12,media,0.0,3.0,10.0
13,medical equipment and services; health care providers,0.0,0.0,98.0
14,not applicable,0.0,2.0,24.0
15,"oil, gas, & coal",0.0,11.0,56.0
16,real estate investment & se...,7.0,64.0,251.0
17,retailers,0.0,0.0,28.0
18,travel & leisure,0.0,3.0,97.0
