Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,13,4,6,2,0.31,0.46,0.15
2012.0,12,5,8,0,0.42,0.67,0.0
2013.0,19,11,13,1,0.58,0.68,0.05
2014.0,15,8,14,2,0.53,0.93,0.13
2015.0,18,11,14,3,0.61,0.78,0.17
2016.0,19,10,17,3,0.53,0.89,0.16
2017.0,33,15,29,5,0.45,0.88,0.15
2018.0,34,16,27,5,0.47,0.79,0.15
2019.0,53,24,39,5,0.45,0.74,0.09
2020.0,47,26,41,3,0.55,0.87,0.06
2021.0,66,39,53,15,0.59,0.8,0.23
2022.0,72,50,66,17,0.69,0.92,0.24
2023.0,38,30,34,16,0.79,0.89,0.42
