,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,6.0,76.0,105.0,187.0
1,Americas,2012.0,0.0,33.0,154.0,187.0
2,Americas,2013.0,1.0,49.0,309.0,359.0
3,Americas,2014.0,4.0,84.0,444.0,532.0
4,Americas,2015.0,8.0,46.0,383.0,437.0
5,Americas,2016.0,7.0,68.0,373.0,448.0
6,Americas,2017.0,16.0,133.0,607.0,756.0
7,Americas,2018.0,9.0,89.0,652.0,750.0
8,Americas,2019.0,7.0,120.0,728.0,855.0
9,Americas,2020.0,3.0,92.0,714.0,809.0
10,Americas,2021.0,44.0,311.0,1959.0,2314.0
11,Americas,2022.0,47.0,427.0,1726.0,2200.0
12,Americas,2023.0,52.0,1003.0,1188.0,2243.0
