,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,8.0,63.0,172.0,243.0
1,Eastern Mediterranean,2012.0,6.0,48.0,219.0,273.0
2,Eastern Mediterranean,2013.0,4.0,49.0,177.0,230.0
3,Eastern Mediterranean,2014.0,0.0,16.0,86.0,102.0
4,Eastern Mediterranean,2015.0,3.0,42.0,228.0,273.0
5,Eastern Mediterranean,2016.0,3.0,46.0,247.0,296.0
6,Eastern Mediterranean,2017.0,0.0,20.0,171.0,191.0
7,Eastern Mediterranean,2018.0,6.0,97.0,342.0,445.0
8,Eastern Mediterranean,2019.0,7.0,85.0,373.0,465.0
9,Eastern Mediterranean,2020.0,15.0,112.0,407.0,534.0
10,Eastern Mediterranean,2021.0,10.0,78.0,319.0,407.0
11,Eastern Mediterranean,2022.0,31.0,219.0,793.0,1043.0
12,Eastern Mediterranean,2023.0,91.0,802.0,856.0,1749.0
