,Sector,intersection,climate,health
0,automobiles & parts,0.0,5.0,205.0
1,banks,8.0,75.0,373.0
2,beverages,0.0,14.0,31.0
3,chemicals,14.0,104.0,184.0
4,construction & materials,4.0,30.0,141.0
5,diversified,9.0,367.0,398.0
6,electronic & electrical equ...,4.0,265.0,211.0
7,finance and credit services,0.0,0.0,0.0
8,financial services,4.0,51.0,130.0
9,food producers,29.0,268.0,835.0
10,general industrials,0.0,10.0,23.0
11,household goods & home cons...,2.0,3.0,4.0
12,industrial support services,8.0,61.0,487.0
13,industrial transportation,1.0,1.0,65.0
14,investment banking and brokerage services,0.0,0.0,9.0
15,media,0.0,0.0,9.0
16,nonlife insurance,3.0,16.0,30.0
17,not applicable,2.0,14.0,117.0
18,"oil, gas, & coal",2.0,2.0,22.0
19,pharmaceuticals & biotechno...,75.0,129.0,601.0
20,real estate investment & se...,8.0,62.0,297.0
21,retailers,0.0,9.0,35.0
22,software & computer services,10.0,168.0,131.0
23,telecommunications equipment; telecommunications service providers,0.0,3.0,3.0
24,travel & leisure,1.0,20.0,49.0
