,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011.0,8.0,63.0,172.0,243.0
1,1,Africa,2012.0,6.0,48.0,219.0,273.0
2,2,Africa,2013.0,4.0,49.0,177.0,230.0
3,3,Africa,2014.0,0.0,16.0,86.0,102.0
4,4,Africa,2015.0,3.0,42.0,228.0,273.0
5,5,Africa,2016.0,3.0,46.0,247.0,296.0
6,6,Africa,2017.0,0.0,20.0,171.0,191.0
7,7,Africa,2018.0,6.0,97.0,342.0,445.0
8,8,Africa,2019.0,7.0,85.0,373.0,465.0
9,9,Africa,2020.0,15.0,112.0,407.0,534.0
10,10,Africa,2021.0,10.0,78.0,319.0,407.0
11,11,Africa,2022.0,31.0,219.0,793.0,1043.0
12,12,Africa,2023.0,91.0,802.0,856.0,1749.0
