Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,17,13,15,5,0.76,0.88,0.29
2012.0,22,20,22,7,0.91,1.0,0.32
2013.0,20,16,17,6,0.8,0.85,0.3
2014.0,29,24,28,9,0.83,0.97,0.31
2015.0,31,23,30,9,0.74,0.97,0.29
2016.0,32,24,30,9,0.75,0.94,0.28
2017.0,36,30,34,9,0.83,0.94,0.25
2018.0,45,36,44,17,0.8,0.98,0.38
2019.0,48,39,46,17,0.81,0.96,0.35
2020.0,43,37,38,13,0.86,0.88,0.3
2021.0,67,59,61,38,0.88,0.91,0.57
2022.0,82,72,75,40,0.88,0.91,0.49
2023.0,53,48,49,29,0.91,0.92,0.55
