,Sector,intersection,climate,health
0,aerospace & defense,1.0,33.0,124.0
1,alternative energy,6.0,58.0,8.0
2,automobiles & parts,12.0,211.0,166.0
3,banks,26.0,776.0,321.0
4,beverages,3.0,127.0,82.0
5,chemicals,59.0,484.0,803.0
6,construction & materials,19.0,330.0,297.0
7,diversified,31.0,323.0,364.0
8,electricity,9.0,416.0,427.0
9,electronic & electrical equ...,9.0,86.0,218.0
10,financial services,17.0,487.0,419.0
11,food producers,60.0,364.0,613.0
12,general industrials,106.0,2059.0,2350.0
13,household goods & home cons...,8.0,130.0,205.0
14,industrial engineering,23.0,420.0,686.0
15,industrial materials,59.0,1747.0,982.0
16,industrial metals & mining,1.0,314.0,178.0
17,industrial metals and mining,3.0,105.0,30.0
18,industrial support services,23.0,602.0,974.0
19,industrial transportation,7.0,308.0,186.0
20,investment banking and brokerage services,0.0,89.0,13.0
21,leisure goods,7.0,103.0,330.0
22,media,9.0,253.0,205.0
23,medical equipment and services; health care providers,37.0,120.0,1164.0
24,nonlife insurance,23.0,618.0,657.0
25,"oil, gas, & coal",32.0,897.0,462.0
26,personal goods,6.0,162.0,124.0
27,pharmaceuticals & biotechno...,0.0,0.0,126.0
28,real estate investment & se...,17.0,626.0,323.0
29,retailers,42.0,1347.0,1964.0
30,software & computer services,6.0,188.0,116.0
31,technology hardware & equip...,29.0,751.0,1378.0
32,telecommunications equipment; telecommunications service providers,17.0,311.0,259.0
33,travel & leisure,19.0,255.0,343.0
