,Sector,intersection,health,climate
0,alternative energy,6.0,8.0,58.0
1,banks,6.0,61.0,189.0
2,beverages,1.5,31.0,49.5
3,chemicals,16.33,179.0,108.33
4,construction & materials,15.0,74.0,154.0
5,diversified,2.12,20.0,22.75
6,electronic & electrical equ...,3.0,37.5,23.0
7,food producers,2.0,41.0,35.0
8,general industrials,3.0,52.67,94.0
9,household goods & home cons...,0.0,44.0,59.0
10,industrial engineering,1.5,7.0,11.0
11,industrial materials,1.67,25.67,32.67
12,industrial metals and mining,1.5,15.0,52.5
13,industrial support services,1.0,31.0,23.4
14,industrial transportation,0.0,39.0,44.0
15,investment banking and brokerage services,0.0,13.0,89.0
16,leisure goods,0.0,65.0,12.0
17,nonlife insurance,1.0,58.0,184.0
18,personal goods,1.0,19.0,66.0
19,pharmaceuticals & biotechno...,0.0,40.0,0.0
20,real estate investment & se...,4.5,20.5,66.0
21,retailers,3.33,71.0,66.0
22,software & computer services,0.0,7.0,19.33
23,technology hardware & equip...,2.33,76.0,39.0
24,travel & leisure,1.0,55.0,51.0
