Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,113,78,89,17,0.69,0.79,0.15
2012.0,254,128,178,17,0.5,0.7,0.07
2013.0,321,147,216,20,0.46,0.67,0.06
2014.0,326,157,225,26,0.48,0.69,0.08
2015.0,354,171,247,30,0.48,0.7,0.08
2016.0,389,196,272,38,0.5,0.7,0.1
2017.0,391,193,282,32,0.49,0.72,0.08
2018.0,418,211,314,32,0.5,0.75,0.08
2019.0,474,249,362,50,0.53,0.76,0.11
2020.0,412,234,326,60,0.57,0.79,0.15
2021.0,689,418,580,136,0.61,0.84,0.2
2022.0,763,499,654,144,0.65,0.86,0.19
2023.0,483,408,430,185,0.84,0.89,0.38
