,Sector,intersection,climate,health
0,aerospace & defense,25.0,511.0,671.0
1,alternative energy,23.0,238.0,372.0
2,automobiles & parts,126.0,2261.0,2956.0
3,banks,39.0,815.0,828.0
4,beverages,6.0,182.0,293.0
5,chemicals,59.0,634.0,1268.0
6,construction & materials,41.0,711.0,1173.0
7,diversified,116.0,1768.0,2421.0
8,electricity,34.0,1312.0,862.0
9,electronic & electrical equ...,61.0,1295.0,2084.0
10,finance and credit services,31.0,529.0,444.0
11,financial services,99.0,1519.0,2421.0
12,food producers,149.0,1799.0,6164.0
13,"gas, water & multiutilities",23.0,276.0,405.0
14,general industrials,190.0,2361.0,3967.0
15,household goods & home cons...,24.0,434.0,800.0
16,industrial engineering,38.0,616.0,1370.0
17,industrial materials,2.0,43.0,86.0
18,industrial metals & mining,26.0,351.0,569.0
19,industrial metals and mining,13.0,154.0,243.0
20,industrial support services,194.0,3661.0,8016.0
21,industrial transportation,133.0,1934.0,1718.0
22,investment banking and brokerage services,7.0,66.0,24.0
23,leisure goods,11.0,161.0,224.0
24,life insurance,19.0,290.0,638.0
25,media,18.0,671.0,1220.0
26,medical equipment and services; health care providers,96.0,547.0,2937.0
27,nonlife insurance,9.0,187.0,610.0
28,not applicable,5.0,166.0,85.0
29,"oil, gas, & coal",108.0,1708.0,1796.0
30,open end and miscellaneous investment vehicles,2.0,6.0,3.0
31,personal goods,60.0,569.0,884.0
32,pharmaceuticals & biotechno...,130.0,694.0,6000.0
33,real estate investment & se...,26.0,622.0,614.0
34,real estate investment trusts,69.0,866.0,900.0
35,retailers,98.0,2125.0,3487.0
36,software & computer services,170.0,3771.0,5241.0
37,technology hardware & equip...,72.0,913.0,1290.0
38,telecommunications equipment; telecommunications service providers,13.0,414.0,922.0
39,travel & leisure,48.0,1274.0,1182.0
