,Sector,intersection,health,climate
0,aerospace & defense,4.2,56.4,62.0
1,alternative energy,1.33,18.83,19.5
2,automobiles & parts,11.0,111.6,135.8
3,banks,5.2,83.0,104.0
4,beverages,1.0,30.0,24.0
5,chemicals,0.82,19.35,15.06
6,construction & materials,1.92,36.0,33.62
7,diversified,0.9,15.18,16.76
8,electricity,7.33,122.0,255.33
9,electronic & electrical equ...,1.42,24.11,38.79
10,finance and credit services,1.55,21.45,25.9
11,food producers,1.92,57.46,26.0
12,"gas, water & multiutilities",1.33,29.33,28.67
13,general industrials,1.51,20.77,18.85
14,household goods & home cons...,2.0,47.5,27.75
15,industrial engineering,1.22,13.78,11.22
16,industrial materials,0.25,15.25,5.75
17,industrial metals and mining,4.33,81.0,51.33
18,industrial support services,0.45,12.18,7.53
19,industrial transportation,4.0,52.24,74.53
20,investment banking and brokerage services,7.0,12.0,48.0
21,leisure goods,1.25,14.0,20.5
22,life insurance,5.0,114.0,33.0
23,media,0.64,27.71,24.43
24,medical equipment and services; health care providers,9.5,158.25,27.25
25,nonlife insurance,0.0,16.5,7.25
26,not applicable,0.33,3.67,23.33
27,"oil, gas, & coal",5.0,43.83,94.5
28,open end and miscellaneous investment vehicles,2.0,3.0,6.0
29,personal goods,3.2,26.6,28.4
30,pharmaceuticals & biotechno...,2.5,120.0,25.5
31,real estate investment & se...,2.5,57.67,71.83
32,real estate investment trusts,8.0,81.5,146.0
33,retailers,1.42,25.27,23.5
34,software & computer services,1.4,22.62,30.75
35,technology hardware & equip...,1.57,17.14,20.86
36,telecommunications equipment; telecommunications service providers,0.0,11.33,16.5
37,travel & leisure,4.75,82.5,112.12
