,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,74.0,1105.0,1725.0,2904.0
1,1,Europe,2012.0,69.0,1183.0,3489.0,4741.0
2,2,Europe,2013.0,42.0,1400.0,2555.0,3997.0
3,3,Europe,2014.0,56.0,1529.0,2974.0,4559.0
4,4,Europe,2015.0,55.0,1417.0,2545.0,4017.0
5,5,Europe,2016.0,85.0,1611.0,3107.0,4803.0
6,6,Europe,2017.0,58.0,1397.0,2943.0,4398.0
7,7,Europe,2018.0,87.0,1507.0,3471.0,5065.0
8,8,Europe,2019.0,130.0,1870.0,4220.0,6220.0
9,9,Europe,2020.0,127.0,1982.0,4397.0,6506.0
10,10,Europe,2021.0,372.0,3501.0,10691.0,14564.0
11,11,Europe,2022.0,373.0,5066.0,9821.0,15260.0
12,12,Europe,2023.0,885.0,14886.0,15250.0,31021.0
