,Sector,intersection,climate,health
0,banks,1.0,96.0,126.0
1,diversified,6.0,259.0,433.0
2,financial services,1.0,3.0,14.0
3,food producers,0.0,1.0,19.0
4,industrial metals & mining,0.0,0.0,1.0
5,industrial support services,0.0,7.0,8.0
6,media,0.0,0.0,11.0
7,medical equipment and services; health care providers,0.0,0.0,0.0
8,nonlife insurance,0.0,0.0,55.0
9,"oil, gas, & coal",14.0,474.0,273.0
10,real estate investment & se...,2.0,2.0,10.0
11,telecommunications equipment; telecommunications service providers,0.0,50.0,130.0
12,travel & leisure,0.0,20.0,42.0
