,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011.0,0.0,2.0,16.0,18.0
1,Medium,2012.0,0.0,7.0,45.0,52.0
2,Medium,2013.0,0.0,11.0,71.0,82.0
3,Medium,2014.0,1.0,15.0,92.0,108.0
4,Medium,2015.0,0.0,5.0,45.0,50.0
5,Medium,2016.0,0.0,7.0,55.0,62.0
6,Medium,2017.0,2.0,7.0,35.0,44.0
7,Medium,2018.0,0.0,1.0,23.0,24.0
8,Medium,2019.0,0.0,13.0,9.0,22.0
9,Medium,2020.0,0.0,0.0,9.0,9.0
10,Medium,2021.0,2.0,26.0,12.0,40.0
11,Medium,2022.0,1.0,21.0,5.0,27.0
12,Medium,2023.0,1.0,30.0,35.0,66.0
