,Sector,Climate,Health,Intersection,Year
0,banks,1.0,1.0,1.0,2023
1,beverages,0.5,1.0,0.0,2023
2,construction & materials,1.0,1.0,0.5,2023
3,diversified,0.4,0.6,0.2,2023
4,financial services,0.38,0.69,0.0,2023
5,food producers,0.5,1.0,0.5,2023
6,household goods & home cons...,0.0,1.0,0.0,2023
7,industrial materials,1.0,1.0,0.0,2023
8,industrial metals & mining,0.5,0.77,0.04,2023
9,not applicable,0.0,1.0,0.0,2023
10,"oil, gas, & coal",0.17,1.0,0.0,2023
11,software & computer services,0.0,0.67,0.0,2023
12,technology hardware & equip...,0.0,1.0,0.0,2023
